srcStateName,srcYear,srcMonth,Settlement of Integrated goods and services tax ( IGST ),YearCode,Year,MonthCode,Month
Assam,2018-19,Apr - 2018,299.189345,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Meghalaya,2018-19,Apr - 2018,29.1903738,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Tripura,2018-19,Apr - 2018,44.6361971,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Manipur,2018-19,Apr - 2018,36.9061369,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
West Bengal,2018-19,Apr - 2018,657.4994638,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Himachal Pradesh,2018-19,Apr - 2018,100.0167996,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Madhya Pradesh,2017-18,Feb - 2018,607.3338283,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
Andhra Pradesh,2017-18,Feb - 2018,795.1748246,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
Telangana,2017-18,Feb - 2018,790.6715112,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
Andaman and Nicobar Islands,2017-18,Feb - 2018,9.7971395,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
Puducherry,2017-18,Feb - 2018,33.3471329,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
Tamil Nadu,2017-18,Feb - 2018,733.0465649,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
Kerala,2017-18,Feb - 2018,808.8209279,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
Lakshadweep,2017-18,Feb - 2018,0.4759568,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
Goa,2017-18,Feb - 2018,54.9736472,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
Karnataka,2017-18,Feb - 2018,1085.0389317,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
Maharashtra,2017-18,Feb - 2018,1476.8190901,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
Dadra and Nagar Haveli,2017-18,Feb - 2018,11.3200273,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
Jammu and Kashmir,2018-19,Apr - 2018,209.5399478,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Haryana,2018-19,Apr - 2018,375.4189455,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Mizoram,2018-19,Apr - 2018,23.1280813,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
