srcStateName,srcYear,srcMonth,Type of supply,E-way suppliers,E-way bills,E-way asset value,YearCode,Year,MonthCode,Month
LAKSHADWEEP,2020-21,Apr - 2020,Intra State,0,0,0,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
KERALA,2020-21,Apr - 2020,Intra State,10562,247827,4160.341757166,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
TAMIL NADU,2020-21,Apr - 2020,Intra State,11315,397738,10526.059458655,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
PUDUCHERRY,2020-21,Apr - 2020,Intra State,275,5324,218.445264504,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
ANDAMAN AND NICOBAR,2020-21,Apr - 2020,Intra State,4,116,5.372039369,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
TELANGANA,2020-21,Apr - 2020,Intra State,10107,471500,9008.533785538,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
ANDHRA PRADESH,2020-21,Apr - 2020,Intra State,10254,359964,7916.339595243,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
LADAKH,2020-21,Apr - 2020,Intra State,2,10,0.404388656,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
JAMMU AND KASHMIR,2020-21,Apr - 2020,Inter State Outwards,374,6654,717.461602287,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
HIMACHAL PRADESH,2020-21,Apr - 2020,Inter State Outwards,1789,46746,3446.448985634,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
LAKSHADWEEP,2019-20,May - 2019,Intra State,0,0,0,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019"
PUNJAB,2020-21,Apr - 2020,Inter State Outwards,6152,97022,6518.825205433,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
CHANDIGARH,2020-21,Apr - 2020,Inter State Outwards,945,10911,225.484811127,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
