srcStateName,srcYear,srcMonth,Central Goods and Services Tax ( CGST ) Revenue,State Goods and Services Tax ( SGST )Revenue,Integrated Goods and Services Tax ( IGST )Revenue,CESS Tax Revenue,YearCode,Year,MonthCode,Month
Odisha,2021-22,Apr-2021,952.4277025,1126.673766,1157.0542888,613.3258574,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Manipur,2021-22,Apr-2021,43.4259664,55.3889424,3.6082394,0.2497382,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Chattisgarh,2021-22,Apr-2021,514.126196,586.1793168,869.8789109,702.3859862,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Himachal Pradesh,2022-23,Apr-2022,166.56,225.66,423.14,2.01,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Andhra Pradesh,2022-23,Apr-2022,1002.93,1294.48,1388.74,380.97,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Daman and Diu,2022-23,Apr-2022,0.04,0.04,0.09,,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Kerala,2021-22,Mar-2022,694.9,923.53,467.8,2.98,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
Maharashtra,2022-23,Apr-2022,7305.65,8573,9884.7,1731.29,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Ladakh,2022-23,Apr-2022,19.09,23.34,4.51,0.24,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Odisha,2022-23,Apr-2022,1381,1714.78,1092.05,722.4,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
West Bengal,2022-23,Apr-2022,1734.28,2155.35,1377.17,377.04,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Arunachal Pradesh,2022-23,Apr-2022,79.97,93.2,22.82,0.22,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Kerala,2022-23,Apr-2022,844.33,1153.07,686.4,5.21,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Tripura,2022-23,Apr-2022,40.63,53.61,12.04,0.58,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Lakshadweep,2022-23,Apr-2022,1.19,1.77,0.08,,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Chandigarh,2022-23,Apr-2022,44.92,60.8,140.73,2.18,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Tamil Nadu,2022-23,Apr-2022,2595.96,3440.26,2924.95,762.98,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Dadra and Nagar Haveli,2022-23,Apr-2022,46.51,59.06,273.74,1.27,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Mizoram,2022-23,Apr-2022,17.28,24.49,4.48,0.09,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Uttarakhand,2022-23,Apr-2022,426.27,584.84,863.93,11.55,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Madhya Pradesh,2022-23,Apr-2022,850.2,1102.12,876.76,510.31,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Jammu and Kashmir,2022-23,Apr-2022,176.26,273.36,104.21,6.03,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Sikkim,2022-23,Apr-2022,31.68,48.38,183.65,0.11,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
Haryana,2022-23,Apr-2022,1317.87,1717.8,4665.07,496.62,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
